target,label,status,error_message,period_d,duration_hr,C1_depth_ppm,C2_shape_flatbottom_ratio,C3_ingress_egress_symmetry,C4_odd_even_rel_diff,C5_secondary_eclipse_ppm,C6_centroid_shift_px,C7_phase_fold_coherence,n_epochs
TOI-2543.01,planet,ok,,7.54235,5.808,555.8246,0.8736,0.2816,0.3698,-21.1623,0.0014,0.6460,12
TOI-1758.01,planet,ok,,20.70657,2.784,704.3160,0.6825,0.5576,0.1386,46.1344,0.0014,0.9229,4
TOI-954.01,planet,ok,,3.68632,4.272,32.5566,0.8917,nan,nan,0.0000,0.0001,0.0000,12
TOI-1759.01,planet,ok,,8.73427,0.480,353.2078,0.0000,0.4089,nan,0.0000,0.0003,0.0000,13
TOI-186.01,planet,ok,,26.65732,8.832,1945.3378,0.0747,0.9535,nan,-3.9040,0.0380,0.0019,2
TOI-969.01,planet,ok,,1.82348,1.248,1149.3585,0.8977,0.4806,0.0549,-36.8974,0.0001,0.9026,13
TOI-561.01,planet,ok,,9.96750,0.480,268.2259,0.6157,0.6710,1.4218,0.0000,0.0012,0.3815,7
TOI-1836.01,planet,ok,,20.37319,6.192,116.3099,0.3856,nan,2.0000,0.0000,0.0011,-0.1021,6
TOI-913.01,planet,ok,,19.20192,0.480,307.1675,0.8130,0.2413,2.0000,0.0000,0.0010,0.0000,5
TOI-120.01,planet,ok,,11.53705,8.064,399.4784,0.4770,0.9405,0.2995,0.0000,0.0015,0.4725,6
TOI-2145.01,planet,ok,,10.26253,5.808,369.6440,0.9281,0.6774,0.3409,-0.5364,0.0013,0.6669,11
TOI-5164.01,planet,ok,,8.27108,2.784,447.9514,0.9791,0.5179,0.2299,-38.7102,0.0002,0.7358,11
TOI-2498.01,planet,ok,,13.42819,1.248,19429.0292,0.0785,nan,nan,32.9970,0.0671,nan,1
TOI-5165.01,planet,ok,,3.57716,1.248,1063.3866,0.8778,0.2923,0.1416,-65.0267,0.0004,0.5734,20
TOI-6310.01,planet,ok,,3.35294,1.632,1207.8219,0.5663,0.1413,0.1422,-18.3918,0.0012,0.7905,21
TOI-7457.01,planet,ok,,16.24572,0.480,11776.3992,0.9950,0.3059,0.0116,178.7334,0.0471,0.8899,6
TOI-4491.01,planet,ok,,2.50325,1.632,345.8007,0.6508,0.2147,1.8924,2.6215,0.0002,0.0054,43
TOI-5067.01,planet,ok,,7.60485,0.480,625.1136,0.7474,0.8370,0.1509,0.0000,0.0008,0.6983,9
TOI-6004.01,planet,ok,,28.33308,1.248,2140.3614,0.6599,0.4777,nan,-335.5868,0.0074,0.6319,2
TOI-3585.01,planet,ok,,7.08211,2.016,1771.1098,0.6111,0.0470,0.0345,-23.7910,0.0009,0.8713,11
TOI-1472.01,planet,ok,,0.75963,2.400,661.9757,0.3638,0.8790,0.0211,-654.2612,0.0001,0.7332,123
TOI-5068.01,planet,ok,,20.23157,0.480,174.9288,0.7790,0.9808,nan,0.0000,0.0048,0.0000,3
TOI-5123.01,planet,ok,,11.65760,2.784,889.0101,0.8154,0.3673,0.9013,0.0000,0.0028,-0.4382,6
TOI-5083.01,planet,ok,,26.38589,0.480,4062.6930,0.4540,0.9926,nan,231.9671,0.0227,nan,1
TOI-4916.01,planet,ok,,26.07316,0.480,1860.5311,0.8041,0.5931,nan,0.0000,0.0013,0.0000,4
TOI-4582.01,planet,ok,,20.75968,0.864,730.8385,0.5721,0.2480,0.3707,-3.4564,0.0007,0.6732,5
TOI-2641.01,planet,ok,,1.62701,0.864,838.4953,0.3620,0.5662,0.3336,-15.0740,0.0002,-1.2276,56
TOI-3851.01,planet,ok,,6.76643,2.016,653.3090,0.4963,0.2672,0.1628,-28.9806,0.0010,0.8070,10
TOI-1470.01,planet,ok,,2.52685,1.248,788.6111,0.9484,0.7879,0.4362,-11.6839,0.0002,0.5379,34
TOI-1634.01,planet,ok,,18.97770,0.480,2262.9886,0.0000,0.5701,nan,0.0000,0.0028,0.6878,2
TOI-7463.01,planet,ok,,14.17167,0.480,4660.4910,0.4147,0.3015,0.1427,461.1762,0.0178,0.9070,5
TOI-118.01,planet,ok,,18.61481,0.480,254.8628,0.8822,0.7898,nan,0.0000,0.0009,0.9698,3
TOI-1931.01,planet,ok,,20.17779,0.480,1451.9734,0.7308,0.8153,nan,0.0000,0.0020,0.8297,2
TOI-2293.01,planet,ok,,3.03430,1.248,717.2076,0.4451,0.6393,1.5517,-30.0963,0.0001,0.1986,33
TOI-1246.01,planet,ok,,4.30883,1.632,665.9112,0.5478,0.7416,0.1665,10.8180,0.0001,0.7987,18
TOI-700.01,planet,ok,,16.05101,0.864,2247.1629,0.5936,0.3795,0.2032,-18.0534,0.0029,0.9074,4
TOI-907.01,planet,ok,,13.81468,0.480,586.5924,0.0000,0.7797,0.3366,0.0000,0.0077,0.0000,4
TOI-2024.01,planet,ok,,5.75153,3.120,1834.6624,0.2869,0.6052,0.2873,180.1605,0.0001,0.6216,13
TOI-1272.01,planet,ok,,6.63071,1.248,1253.5553,0.6963,0.1708,0.0875,145.4530,0.0002,0.6627,15
TOI-1180.01,planet,ok,,9.68722,2.016,839.3103,0.8845,0.3267,0.0241,-12.9916,0.0007,0.9015,9
