toi,tid,label,period_d,status,n_sectors,baseline_days_approx,n_epochs_proxy
1694.01,396740648,planet,3.7701296,ok,2,54.8,14.535309343211967
1050.01,66818296,planet,3.7354838,ok,3,82.19999999999999,22.005181765210704
1165.01,458478250,planet,2.2552845,ok,19,520.6,230.83562184726583
481.01,339672028,planet,10.3311621,ok,26,712.4,68.9564245633122
1846.01,198385543,planet,3.9306746,ok,29,794.5999999999999,202.1535947035656
4515.01,456862677,planet,15.2664658,ok,4,109.6,7.179133758646352
6019.01,125520907,planet,14.5478626,ok,2,54.8,3.766876379489589
5797.01,374530847,planet,2.152163,ok,2,54.8,25.462755376799993
4584.01,120255950,planet,31.5786847,ok,7,191.79999999999998,6.07371718683394
1782.02,160045097,planet,1.8290294,ok,11,301.4,164.78685361755254
2274.01,289164482,planet,2.6796164,ok,8,219.2,81.80275355830781
3894.01,165464482,planet,4.3345378,ok,2,54.8,12.642639775802625
4411.01,366484980,planet,13.7748361,ok,7,191.79999999999998,13.923940626778128
1823.01,142381532,planet,38.8135498,ok,9,246.6,6.353451340335792
2126.01,116264089,planet,1.306188,ok,7,191.79999999999998,146.8395054923181
5963.01,436478932,planet,4.3226229,ok,2,54.8,12.677488013122773
129.01,201248411,planet,0.980972,ok,10,274.0,279.3148020534735
4304.01,366443426,planet,15.5718552,ok,8,219.2,14.07667854502012
969.01,280437559,planet,1.8237371,ok,1,27.4,15.024095304087414
826.01,243200602,planet,11.5509742,ok,5,137.0,11.860471474345427
127.01,234523599,planet,3.7955178,ok,10,274.0,72.19041365054328
4308.01,144193715,planet,9.1512776,ok,4,109.6,11.97646982100073
473.01,52640302,planet,1.5732848,ok,5,137.0,87.07895735088778
6008.01,286201103,planet,0.8573727,ok,9,246.6,287.62287392635665
1628.01,284475976,planet,2.1436364,ok,17,465.79999999999995,217.29431353190304
624.01,399870368,planet,2.7443216,ok,2,54.8,19.968505148959217
1853.01,73540072,planet,1.2436239,ok,1,27.4,22.03238454970188
5138.01,38087018,planet,1.7292681,ok,3,82.19999999999999,47.53456100878746
4529.01,384888319,planet,5.8795752,ok,3,82.19999999999999,13.980601863889758
5673.01,175772482,planet,2.8386215,ok,1,27.4,9.652572560307881
7469.01,187309502,planet,3.5868547,ok,1,27.4,7.639004724668663
1693.01,353475866,planet,1.766692,ok,6,164.39999999999998,93.05526939613695
228.01,77044471,planet,2.6865064,ok,4,109.6,40.79647828123544
1833.01,61098812,planet,3.6935997,ok,4,109.6,29.672950211686445
7511.01,146364192,planet,2.3691651,ok,4,109.6,46.26102250113341
113.01,97409519,planet,3.372877,ok,3,82.19999999999999,24.370885745314755
4485.01,137903329,planet,7.3405675,ok,8,219.2,29.861451447725262
1714.01,239154970,planet,3.4744763,ok,6,164.39999999999998,47.316483350310946
1914.01,53750200,planet,4.1933422,ok,3,82.19999999999999,19.602502271338597
2796.01,220076110,planet,4.808498,ok,1,27.4,5.698245065298976
2537.01,399967279,planet,94.0997954,ok,5,137.0,1.4559011464120568
833.01,362249359,planet,1.041889,ok,8,219.2,210.38709497844778
1408.01,364186197,planet,4.4247042,ok,18,493.2,111.465078275741
766.01,219698950,planet,3.4464529,ok,6,164.39999999999998,47.70121767803644
569.01,123482865,planet,6.5562078,ok,5,137.0,20.896226016509118
820.01,111991770,planet,3.752062,ok,2,54.8,14.605302364406558
1844.01,198108326,planet,3.2130578,ok,5,137.0,42.638510891400706
4476.01,399794420,planet,1.5947535,ok,7,191.79999999999998,120.26937078363521
5170.01,330690135,planet,14.7565015,ok,4,109.6,7.4272347005826544
7719.01,1333933,planet,3.2757945,ok,1,27.4,8.364383052722019
5520.01,374180079,planet,14.69808,ok,6,164.39999999999998,11.185134384899252
1233.01,260647166,planet,14.1758947,ok,6,164.39999999999998,11.597151606945836
2010.01,26547036,planet,1134.6723963,ok,13,356.2,0.3139232091672591
2336.01,88902249,planet,7.7119842,ok,1,27.4,3.55291184336192
1494.01,411608801,planet,5.0267996,ok,3,82.19999999999999,16.35235269772839
4377.01,394918211,planet,4.3780194,ok,5,137.0,31.292689109600563
1478.01,409794137,planet,10.1802014,ok,4,109.6,10.76599525820776
4592.01,122785299,planet,8.8849511,ok,6,164.39999999999998,18.503196939373137
2548.01,350293646,planet,8.5234958,ok,3,82.19999999999999,9.643930369508716
1728.01,285048486,planet,3.4913952,ok,3,82.19999999999999,23.543596554179828
1410.01,199444169,planet,1.2168732,ok,3,82.19999999999999,67.55017696174095
2459.01,192790476,planet,19.1047019,ok,6,164.39999999999998,8.60521147414501
1472.01,306955329,planet,6.3634106,ok,5,137.0,21.529335227872927
1793.01,304142124,planet,55.087,ok,6,164.39999999999998,2.9843701780819427
1847.01,54002556,planet,35.4557945,ok,2,54.8,1.545586575418582
120.01,394137592,planet,11.535076,ok,5,137.0,11.876818150136158
815.01,102840239,planet,11.1972769,ok,5,137.0,12.235117629358616
5097.01,203214081,planet,5.7459945,ok,4,109.6,19.07415678869863
7067.01,139158696,planet,15.3573522,ok,2,54.8,3.5683234509657207
139.01,62483237,planet,11.0708575,ok,4,109.6,9.899865480158153
216.01,55652896,planet,34.5059318,ok,43,1178.2,34.14485390016333
5794.01,273874849,planet,1.4857148,ok,9,246.6,165.98071177590745
112.01,388104525,planet,2.4997996,ok,28,767.1999999999999,306.90460147285404
880.02,34077285,planet,2.5735943,ok,2,54.8,21.293177405622945
5110.01,239977528,planet,30.1584857,ok,4,109.6,3.634134720497588
3364.01,280655495,planet,5.8769438,ok,4,109.6,18.6491488994671
2386.01,32487566,planet,2.7567395,ok,1,27.4,9.93927790420531
677.01,280206394,planet,11.2365977,ok,8,219.2,19.50768425214689
5095.01,434226736,planet,3.4845543,ok,3,82.19999999999999,23.589817498323956
2981.01,287145649,planet,3.6015056,ok,2,54.8,15.215858612020483
103.01,336732616,planet,3.547854,ok,2,54.8,15.44595690803511
1476.01,432549364,planet,1.2174936,ok,3,82.19999999999999,67.51575531896019
4364.01,4070275,planet,5.4240691,ok,3,82.19999999999999,15.15467419100542
488.01,452866790,planet,1.1979996,ok,4,109.6,91.48584022899507
5087.01,18310799,planet,17.3070631,ok,3,82.19999999999999,4.749505997929827
5123.01,332022997,planet,3.2810299,ok,4,109.6,33.40414544835449
453.01,452808876,planet,2.70582,ok,2,54.8,20.252640604326967
736.01,181804752,planet,4.9899176,ok,5,137.0,27.455363190766917
1055.01,320004517,planet,17.4713078,ok,5,137.0,7.841427875250414
4530.01,35022727,planet,3.6528112,ok,5,137.0,37.5053602551372
1235.01,103633434,planet,3.4447015,ok,8,219.2,63.63396073651084
2379.01,201177276,planet,5.4693888,ok,9,246.6,45.087304819141764
6838.01,278892590,planet,1.5109447,ok,1,27.4,18.134349986468727
1184.01,233087860,planet,5.7484439,ok,41,1123.3999999999999,195.4268006338202
